"Carimbo de data/hora","Qual o seu género? ","Idade (em anos)","Qual o principal motivo pelo qual vai às  compras?","Com que frequência compra roupa? ","Que tipo de roupa compra com mais frequência? ","De que forma costuma obter os seus produtos? ","Qual o padrão de roupa favorito? ","Quanto dinheiro gastou, em média, em roupas nos últimos 3 meses? "
"2019/11/22 4:12:30 da tarde GMT","Masculino","19","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/22 4:13:05 da tarde GMT","Feminino","20","Momento de descontração","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 4:23:30 da tarde GMT","Masculino","23","Substituir roupas quentes/frias","Raramente","Camisolas, camisas, T-shirt","Loja fisica","Riscas","26-50"
"2019/11/22 4:24:08 da tarde GMT","Masculino","22","Substituir roupas quentes/frias","Várias vezes por ano","Calçado","Loja fisica","Sem padrão","26-50"
"2019/11/22 4:29:42 da tarde GMT","Masculino","20","Substituir roupas quentes/frias","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 4:46:05 da tarde GMT","Feminino","25","Momento de descontração","Várias vezes por mês","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","251-500"
"2019/11/22 4:56:57 da tarde GMT","Feminino","22","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 5:02:49 da tarde GMT","Feminino","22","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/22 5:20:50 da tarde GMT","Feminino","20","Substituir roupas quentes/frias","Várias vezes por ano","Roupa interior","Loja fisica","Sem padrão","101-250"
"2019/11/22 5:46:48 da tarde GMT","Feminino","26","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja Online","Sem padrão","101-250"
"2019/11/22 5:58:03 da tarde GMT","Masculino","20 ","Momento de descontração","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/22 6:02:42 da tarde GMT","Feminino","22","Comprar presente","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja Online","Sem padrão","51-100"
"2019/11/22 6:46:03 da tarde GMT","Feminino","25","Substituir roupas quentes/frias","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","26-50"
"2019/11/22 6:54:15 da tarde GMT","Feminino","22","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 7:12:16 da tarde GMT","Feminino","20","Para ter um maior leque de escolhas","Várias vezes por mês","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 8:16:43 da tarde GMT","Feminino","22","Substituir roupas quentes/frias","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja Online","Sem padrão","0-25"
"2019/11/22 8:35:08 da tarde GMT","Masculino","28","Comprar presente","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/22 9:21:27 da tarde GMT","Feminino","56","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","26-50"
"2019/11/22 11:09:48 da tarde GMT","Feminino","20","Substituir roupas quentes/frias","Raramente","Calças, calções,saias","Loja fisica","Sem padrão","51-100"
"2019/11/23 1:37:17 da manhã GMT","Masculino","20","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/23 1:42:43 da tarde GMT","Masculino","20","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","0-25"
"2019/11/23 6:28:25 da tarde GMT","Feminino","19","Momento de descontração","Várias vezes por mês","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/23 7:24:21 da tarde GMT","Masculino","22","Substituir roupas quentes/frias","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/23 8:52:27 da tarde GMT","Feminino","29","Momento de descontração","Várias vezes por mês","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","500+"
"2019/11/24 10:43:03 da manhã GMT","Masculino","25","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Riscas","251-500"
"2019/11/24 6:07:39 da tarde GMT","Masculino","23","Substituir roupas quentes/frias","Raramente","Camisolas, camisas, T-shirt","Loja fisica","Riscas","26-50"
"2019/11/24 6:07:53 da tarde GMT","Feminino","29","Substituir roupas quentes/frias","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/24 6:10:59 da tarde GMT","Feminino","23","Momento de descontração","Várias vezes por mês","Vestido","Loja fisica","Bolas","101-250"
"2019/11/24 6:11:14 da tarde GMT","Masculino","24","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","26-50"
"2019/11/25 2:20:00 da tarde GMT","Masculino","58","Por necessidade ","Raramente","Calças, calções,saias","Loja fisica","Sem padrão","0-25"
"2019/11/25 5:14:01 da tarde GMT","Feminino","28","Substituir roupas quentes/frias","Raramente","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/25 5:22:37 da tarde GMT","Masculino","23","Substituir roupas quentes/frias","Raramente","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","101-250"
"2019/11/25 5:42:18 da tarde GMT","Feminino","23","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
"2019/11/25 7:21:10 da tarde GMT","Masculino","31","Para ter um maior leque de escolhas","Raramente","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","26-50"
"2019/11/25 7:25:02 da tarde GMT","Feminino","36","Substituir roupas quentes/frias","Raramente","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","26-50"
"2019/11/25 7:40:09 da tarde GMT","Masculino","30","Comprar presente","Raramente","Roupa interior","Loja fisica","Sem padrão","0-25"
"2019/11/25 10:39:51 da tarde GMT","Feminino","24","Quando preciso de algo urgente ","Várias vezes por ano","Depende do que preciso ","Loja Online","Sem padrão","500+"
"2019/11/25 11:52:39 da tarde GMT","Feminino","28","Substituir roupas quentes/frias","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","0-25"
"2019/11/27 10:21:50 da tarde GMT","Feminino","25","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Riscas","26-50"
"2019/11/28 9:38:38 da manhã GMT","Masculino","23","Para ter um maior leque de escolhas","Várias vezes por ano","Camisolas, camisas, T-shirt","Loja fisica","Sem padrão","51-100"
